rank,artists,title
1394,BANDA EL RECODO,TE OFREZCO UN CORAZON
1395,SIGGNO,QUE ME AMAS
1396,EL CHAPO DE SINALOA,DETRAS DE LA PUERTA
1397,BANDA MACHOS,AL GATO Y AL RATON
1398,BANDA MACHOS,"MI LUNA,MI ESTRELLA"
1399,GRUPO BRYNDIS,LA ULTIMA CANCION
1400,BANDA EL RECODO,ENTONCES QUE SOMOS
1401,LA ARROLLADORA BANDA EL LIMÓN,EN LOS PURITOS HUESOS
1402,LA LEYENDA,COSITAS MALAS
1403,PEDRO FERNANDEZ,AMARTE A LA ANTIGUA
1404,CHUY LIZARRAGA,SE ME SIGUE NOTANDO
1405,LA LEYENDA,SUFRE COMO YO SUFRI
1406,LIMITE,YO SIN TU AMOR
1407,BRONCO,NUNCA VOY A OLVIDARTE
1408,ANA BARBARA,LOCA
1409,REGULO CARO,COMO VUELVO A ENAMORARTE
1410,LOS PLEBES DEL RANCHO DE ARIEL CAMACHO,COMO FUE
1411,LA ORIGINAL BANDA EL LIMON,LA CAMA DESTENDIDA
1412,LUISILLO PINEDA Y LA FASCINANTE,LA LEY DEL MONTE
1413,MARCO FLORES Y SU NUMERO 1 BANDA JEREZ,LOS VIEJITOS
1414,JOSS FAVELA,PORQUE NO TE ENAMORAS
1415,LOS TUCANES DE TIJUANA,SECUESTRO DE AMOR
1416,BANDA DEL MANGO,BABY SHARK
1417,VALENTIN ELIZALDE,LA MAS DESEADA
1418,GRUPO VIENTO Y SOL,DOS ANILLOS
1419,LOS REHENES,LIMOSNERO DE CARIÑO
1420,"REVOLVER CANNABIS,ENIGMA NORTEÑO",EL HOMBRE DEL MARLBORO
1421,LOS TITANES DE DURANGO,AMOR DE NIÑO
1422,ANGELA AGUILAR,NO ME QUEDA MAS
1423,GABY ROMERO,EL CHICO DEL APARTAMENTO 512
1424,SAUL EL JAGUAR,LA LUNA
1425,JULION ALVAREZ Y SU NORTEÑO BANDA,MARCHATE
1426,MXP MAXIMO PODER,SI ME HUBIERAS QUERIDO
1427,LOS TIGRES DEL NORTE,QUE TAL SI ERES TU
1428,LA ARROLLADORA BANDA EL LIMÓN,YA TE PERDI LA FE
1429,ALFREDO OLIVAS,SEGURAMENTE
1430,EL KOMANDER,POR FAVOR NO CUELGUES
1431,BANDA LA NUEVA DECISION,SI YA TE VAS
1432,ALEJANDRO FERNANDEZ,ABRAZAME
1433,LOS ANGELES AZULES,AMOR DE MIS AMORES
1434,CORNELIO VEGA Y SU DINASTIA,EL PRIMERO
1435,SONORA TROPICANA,QUE BELLO
1436,LOS YES YES FT FATIMA LA TIKIS TIKIS BY THE VHALENS,TUSA
1437,GERARDO ORTIZ,MAÑANA VOY A CONQUISTARLA
1438,BANDA PEQUEÑOS MUSICAL,REGRESANDO
1439,JOAN SEBASTIAN,ME VOY A COMPRAR UN PERRO
1440,BANDA EL RECODO,MUJER MUJER
1441,BANDA MACHOS,LA CULEBRA
1442,"BANDA SANTA Y SAGRADA,CRISTIAN BETTER",YA NO TE AMO
1443,LA HERMANDAD,VEN A CANTAR
1444,BANDA MS,AMOR EXPRESS
1445,INTOCABLE,TE PERDONO
1446,VICENTE FERNANDEZ,VOLVER VOLVER
1447,"DJ ESLI,DAREK SOTELO",SAXOSUELTA ORIENTE TRIBE
1448,LOS YONIC´S,SI LE DICES QUE SI
1449,JULION ALVAREZ,EL BORRACHITO
1450,RIGO TOVAR,EL TESTAMENTO
1451,BRONCO,AMIGO BRONCO
1452,JAIME Y FERNANDO,SI TU ACEPTAS
1453,BANDA EL RECODO,AYER Y HOY
1454,CASIMIRO MORENOY SU TIERRA PA LAS MATAS,EL PA RA RA
1455,BANDA LA MISMA TIERRA,EL DESAYUNO
1456,LOS CORCELES DE LINARES,LA CHICA 240
1457,"PANCHO URESTI,LEANDRO RIOS",CORAZON RANCHERO
1458,BANDA LOS RECODITOS,AL RESCATE
1459,KUMBIA KINGS,MI DULCE NIÑA
1460,RAYMIX,ANGEL MALVADO
1461,BANDA ARRIBA MI SINALOA,ERES LO QUE MÁS AMO
1462,DUELO,TU
1463,LOS CARNALES DE NUEVO LEON,NO ME IMPORTA QUIEN ES
1464,MARCO FLORES Y SU NUMERO 1 BANDA JEREZ,ORDEÑANDO LA VACA
1465,"LA SONORA DINAMITA,EL MIMOSO",CAROLA
1466,HECHIZEROS BAND,EL SONIDITO
1467,DANIYEL VALENZUELA,EVITAME LA PENA
1468,BANDA CARNAVAL,Y TE VAS
1469,GRUPO CORPORACIÓN,ME ACOSTUMBRARÉ
1470,PEDRO FERNANDEZ,YO NO FUI
1471,INTOCABLE,REGALO DE NAVIDAD
1472,LA ARROLLADORA BANDA EL LIMÓN,SIEMPRE ESTAS TU
1473,LOS HURACANES DEL NORTE,QUE ME LLEVE EL DIABLO
1474,FIDEL RUEDA,AUNQUE TE DUELA
1475,EL CHAPO DE SINALOA,LA NOCHE PERFECTA
1476,AARON Y SU GRUPO ILUSION,TODO ME GUSTA DE MI
1477,ALICIA VILLAREAL,TE QUEDO GRANDE LA YEGUA
1478,PESADO,CIELO AZUL CIELO NUBLADO
1479,DIEGO VERDAGUER,TONTA
1480,VICENTE FERNANDEZ,LAS MAÑANITAS
1481,LOS TITANES DE DURANGO,EL ENAMORADO
1482,LOS INVASORES DE NUEVO LEON,A MI QUE ME QUEDO
1483,"CONJUNTO PRIMAVERA,RICKY MUÑOZ",UN DESENGAÑO
1484,LA ADICTIVA BANDA SAN JOSE DE MESILLAS,MUCHAS GRACIAS
1485,IMPACTO SINALOENSE,NO ES TAN FACIL
1486,LOS GFEZ FEAT. DIEGO HERRERA,BIEN SERVIDA
1487,VOZ DE MANDO,EL QUE A TI TE GUSTA
1488,LOS ALEGRES DE LA SIERRA,SUERTE EH TENIDO
1489,GERMAN MONTERO,SANTA CLAUS LE DIO UN BESO A MAMA
1490,LA CACHORRA,DE LOS BESOS QUE TE DÍ
1491,EL PERRON DE LA CUMBIA,EL AMOR QUE YO SOÑE
1492,ESPINOZA PAZ,EL PROXIMO VIERNES (VERSION ACUSTICO BANDA)
1493,"BRONCO,CRISTIAN CASTRO",NUNCA VOY A OLVIDARTE
1494,LIBERACION,OTRA NAVIDAD SIN TI
1495,JOSE BARRAZA,MIL AÑOS DE PASIONES
1496,BETO PEÑA,DE NUEVO LA PERDI
1497,"LOS TIGRES DEL NORTE,MARCO ANTONIO SOLIS",TU CARCEL
1498,JULION ALVAREZ,TU NO TIENES LA CULPA
1499,BANDA LA TRAKALOSA,TATUADO HASTA LOS HUESOS
1500,GRUPO FIRME,EL ROTO
1501,K PAZ DE LA SIERRA,MI CREDO
1502,EL BEBETO,LO MAS INTERESANTE
1503,LOS HURACANES DEL NORTE,SOY MEXICANO
1504,LA ARROLLADORA BANDA EL LIMÓN,TIENE RAZON LA LOGICA
1505,LIBAN GARZA,YO SI TE AMABA
1506,BANDA EL RECODO,VAS A LLORAR POR MI
1507,PESADO,MI PROMESA
1508,LOS TIGRES DEL NORTE FEAT. RESIDENTE,AMERICA
1509,IMPACTO DE MONTEMORELOS,ASI COMO TU
1510,JUAN GABRIEL,EL PALO (SON MICHOACANO)
1511,JULION ALVAREZ,ERES TODO TODO
1512,MEXI-LATIN,AMOR TÓXICO
1513,PANCHO BARRAZA,NUNCA CAMBIES
1514,PESADO,TAN BONITA
1515,BRONCO,SI TE VUELVES A ENAMORAR
1516,BAD BUNNY,YO PERREO SOLA
1517,"LOS ANGELES AZULES,LALI",LAS MARAVILLAS DE LA VIDA
1518,MARCO FLORES Y SU NUMERO 1 BANDA JEREZ,ZAPATEADO ENDEMONIADO
1519,JOSE JOSE,LO QUE NO FUE NO SERA
1520,BANDA MACHOS,NO LLORES SANTA CLAUS
1521,VICENTE FERNANDEZ,DE QUE MANERA TE OLVIDO
1522,LA ARROLLADORA BANDA EL LIMÓN,YA ES MUY TARDE
1523,SONORA DINAMITA,OYE
1524,BANDA LOS SEBASTIANES,DENTRO DE TU CORAZON
1525,PANCHO BARRAZA,PERO LA RECUERDO
1526,LA ADICTIVA BANDA SAN JOSE DE MESILLAS,NADA IGUALES
1527,BANDA EL RECODO,SI NO ES CONTIGO
1528,BANDA CARNAVAL,TE CAMBIO EL DOMICILIO
1529,LUIS PEDRO ROSADO,CULPABLES
1530,VALENTIN ELIZALDE,LA PAPA
1531,LOS TIGRES DEL NORTE,GOLPES EN EL CORAZON
1532,INTOCABLE,NUNCA SUPE AMARTE
1533,SONORA DINAMITA,CAPULLO SORUYO
1534,"LA MAQUINARIA NORTEÑA,GRUPO FIRME",EN HONOR A TI
1535,EL BEBETO,BESOS NUEVOS (MARIACHI)
1536,BANDA CARNAVAL,ENCONTRARTE
1537,JOAN SEBASTIAN,TE IRA MEJOR SIN MI
1538,PILAR MONTENEGRO,QUITAME ESE HOMBRE
1539,ESPINOZA PAZ,NO ME FRIEGUES LA VIDA
1540,BANDA CARNAVAL,LA DOBLE CARA
1541,ALEJANDRO FERNANDEZ,NUBE VIAJERA
1542,BANDA EL RECODO,QUE TE RUEGUE QUIEN TE QUIERA
1543,LOS TIGRES DEL NORTE,ATAUD
1544,LIMITE,EL PRINCIPE
1545,LOS HURACANES DEL NORTE,EL HOMBRE DE NEGRO
1546,BANDA CUISILLOS,NO SE LO DIGAS A ELLA
1547,LOS VELA,TAL VEZ TE DIJERON
1548,BECKY G,COMO NO
1549,VALENTIN ELIZALDE,SOBRE LA TUMBA DE MI PADRE
1550,JENNI RIVERA,PORQUE NO LE CALAS
1551,K PAZ DE LA SIERRA,PERO TE VAS ARREPENTIR
1552,LOS TEMERARIOS,LA BOTELLA ENVENENADA
1553,KRISTEL LA ESPAÑOLA DE LA CUMBIA,COMO ME ARREPIENTO
1554,LOS INVASORES DE NUEVO LEON,AGUANTA CORAZON
1555,CONJUNTO PRIMAVERA,ALGO DE MI
1556,LOS HOROSCOPOS DE DURANGO,ANTES MUERTA QUE SENCILLA
1557,"BANDA SANTA Y SAGRADA,MARCO FLORES",FALSA Y TRAICIONERA
1558,LA VALENTIA,Estupida
1559,VAGON CHICANO,TENGO MIEDO
1560,GERARDO ORTIZ,MILLONES DE BESOS
1561,LA BANDONONONA RANCHO VIEJO,LA SOPA DE TU PROPIO CHOCOLATE
1562,"JUAN SOLO,RAYMIX",MASOQUISTA
1563,ARTURO CORONEL Y EL BUEN ESTILO,ESTO ES AMOR
1564,BANDA MACHOS,UNA HISTORIA SIN FIN
1565,BANDA RANCHO VIEJO,QUE MACHIN
1566,BANDA RANCHO VIEJO,LOS CONSEJOS
1567,MI BANDA EL MEXICANO,HELP AYUDAME
1568,LOS INVASORES DE NUEVO LEON,ESLABON POR ESLABON
1569,SAUL EL JAGUAR,AL ESTILO MAFIA
1570,LOS TIGRES DEL NORTE,AGUA SALADA
1571,LOS TRAILEROS DEL NORTE,ABEJA REINA
1572,BANDA MAGUEY,TU ETERNO ENAMORADO
1573,JUSTIN SIERREÑO MX,TU LO TIENES TODO
1574,BANDA EL RECODO,DEJA
1575,LA ARROLLADORA BANDA EL LIMÓN,COSAS QUE NUNCA TE DIJE
1576,CALIBRE 50,EL INMIGRANTE
1577,CONJUNTO PRIMAVERA,CON SOLO VERTE UNA VEZ MAS
1578,3BALL MTY,INTENTALO
1579,BANDA RANCHO VIEJO,CON LA NOVEDAD
1580,LA MAFIA,EL AMOR
1581,VICENTE FERNANDEZ,ACA ENTRE NOS
1582,LA SONORA DINAMITA,QUE BELLO
1583,LOS BUITRES,YA ME VI
1584,LA ARROLLADORA BANDA EL LIMÓN,EXCLUSIVO DE TI
1585,LOS HURACANES DEL NORTE,AMARTE ES HERMOSO
1586,CARLOS Y JOSE,EL CHUBASCO
1587,BANDA LA EXCESIVA,TU FORMA DE SER
1588,BANDA EL RECODO,SIN RESPIRACION
1589,LOS GUARDIANES DEL AMOR,"EL PERRO,EL GATO Y YO"
1590,DANIELA ZUÑIGA,ME ILUSIONA
1591,LOS TUCANES DE TIJUANA,ME GUSTA VIVIR DE NOCHE
1592,MAXIMO GRADO,ME ENAMORE
1593,BANDA TIERRA MOJADA,LO HUBIERAS HECHO CON TU CORAZON
1594,LOS TIGRES DEL NORTE,LA TUMBA FALSA
1595,GERARDO ORTIZ,MAS CARO QUE AYER
1596,SONORA TROPICANA,EL GRAN BARON
1597,REMMY VALENZUELA,30 CARTAS
1598,ALTO NIVEL,AHORA ESTOY EN TU LUGAR
1599,PESADO,LOCO
1600,BANDA EL RECODO,ME PROMETI OLVIDARTE
1601,INTOCABLE,NO TE VAYAS
1602,CRECER GERMAN,LO QUE TE AMO
1603,EL PODER DEL NORTE,PERO ME PERDON
1604,JUAN GABRIEL,EL NOA NOA
1605,LOS CARDENALES DE NUEVO LEON,ESE
1606,REGULO CARO,VOY A PISTEARME EL DOLOR
1607,DUELO,EL BURRITO DE BELEN
1608,PALOMO,DE UNO Y DE TODOS LOS MODOS
1609,GRUPO LIBRA,SIGNO LIBRA
1610,KUMBIA KINGS,FUISTE MALA
1611,NORTEÑO 4.5 CASI NADA,"VOLE,SOÑE Y LA AME"
1612,VICENTE FERNANDEZ,UN MILLON DE PRIMAVERAS
1613,LOS TUCANES DE TIJUANA,MUNDO DE AMOR
1614,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,PUDE HABER SIDO YO
1615,SONIDO MAZTER,FALSA TRAICION
1616,BANDA MS,DE TI ENAMORADO
1617,SEPTIMO PECADO,Las huellas de tus besos
1618,TAPY QUINTERO,NO TENGO RIVAL
1619,LOS SHELES,DAME CERVEZA
1620,LOS HEREDEROS DE NUEVO LEON,DEJAME LA PUERTA ABIERTA
1621,BANDA LA EJECUTIVA,ALGO BIEN
1622,LA ARROLLADORA BANDA EL LIMÓN,Y QUE QUEDE CLARO
1623,SEPTETO ACAREY,TU ERES MI SUEÑO
1624,EDDY HERRERA,SOMBRAS
1625,GRUPO LA INVASION,ES MAS FACIL
1626,VIRLAN GARCIA,MI VIDA ERES TU
1627,BANDA MACHOS,LA SUEGRA
1628,ANA BARBARA,LO BUSQUE
1629,CHAYIN RUBIO,SECUELAS DE AMOR
1630,BANDA SAN JOSE DE MESILLAS,TE AMO Y TE AMO
1631,INTOCABLE,ESTAS QUE TE PELAS
1632,LOS HIJOS DEL PUEBLO,EL BOTECITO
1633,BANDA MS,EL COLOR DE TUS OJOS (VERSION ACUSTICA)
1634,LOS DAREYES DE LA SIERRA,HASTA EL DIA DE HOY
1635,MARILYN ODESSA FT. MARISELA,BLANCA NAVIDAD
1636,CALIBRE 50,BOHEMIO LOCO
1637,EL KOMANDER,TRAGOS DE ALCOHOL
1638,GRUPO BRYNDIS,POR QUE?
1639,LA ORIGINAL BANDA EL LIMON,QUE ME DIGAN LOCO
1640,VICENTE FERNANDEZ,LASTIMA QUE SEAS AJENA
1641,DEZIGUAL,BIEN PEGAO
1642,LA TRADICION DEL NORTE,CORAZON
1643,JENNI RIVERA,YA LO SE
1644,JOSS FAVELA,CUANDO FUIMOS NADA
1645,LA SEPTIMA BANDA,QUE TONTERIA
1646,FORTALEZA CONTINUA,MI ENCANTO
1647,CARIN LEON,QUISIERA SABER
1648,MIGUEL Y MIGUEL,SONORA Y SUS OJOS NEGROS
1649,SERGIO VEGA,MI BUEN AMANTE
1650,NORTEÑO VIP,NO TE VAS A ARREPENTIR
1651,BANDA MACHOS,UN INDIO QUIERE LLORAR
1652,ESPINOZA PAZ,PERDI LA POSE
1653,BANDA LA TRAKALOSA,UN PAR DE CERDOS
1654,MARIACHI VARGAS DE TECATITLAN,SON DE LA NEGRA
1655,FIEVRE LOOKA,EL BALA BALAJU
1656,DUELO,UN HOMBRE CON SUERTE
1657,BANDA TIERRA SAGRADA,LA REPETICION
1658,RAMON AYALA Y SUS BRAVOS DEL NORTE,TRAGOS AMARGOS
1659,LOS ANGELES DE CHARLY,AMOR SECRETO
1660,JOSEPH FONSECA,EL CABALLITO DE PALO
1661,JENNI RIVERA,TU CAMISA PUESTA
1662,LA INOLVIDABLE FT. BANDA MACHOS,POPURRÍ MACHOS
1663,JUAN GABRIEL,CARAY
1664,INTOCABLE,ALGUIEN TE VA HACER LLORAR
1665,BANDA LOS RECODITOS,CUANDO TE ENTREGUES A EL
1666,BANDA CARNAVAL,LO QUE PIENSO EN TI
1667,LOS CARDENALES DE NUEVO LEON,NECESITO DECIRTELO
1668,LOS ACOSTA,DEJA UNA ROSA EN TU BALCON
1669,LOS ALEGRES DE LA SIERRA,ASI COMO HOY
1670,GRUPO CODICIADO,GENTE DE ACCIONAR
1671,LOS ACOSTA,CONTRA EL DRAGON
1672,LOS BARON DE APODACA,CUANDO NADIE TE QUIERA
1673,CARIN LEON,AMORCITO MIO
1674,SERGIO VEGA,LA NUMERO 20
1675,CALIBRE 50,TE ESTOY ENGAÑANDO CON OTRA
1676,ALFREDO OLIVAS,VILLANA DE CUENTOS
1677,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,DOS MONEDAS
1678,INTOCABLE,SUEÑA
1679,LA SONORA DINAMITA FT. EMIR PABÓN,LA PARABÓLICA
1680,LOS TUCANES DE TIJUANA,ESPEJEANDO
1681,VALENTIN ELIZALDE,EN ESTA NAVIDAD
1682,BANDA SAN JOSE DE MESILLAS,10 SEGUNDOS
1683,GRUPO MOJADO,TONTA
1684,LOS BYBYS,NO FUISTE TU
1685,"LOS CORCELES DE LINARES,CONJUNTO AGUA AZUL",QUE CHULOS OJOS
1686,LA SONORA COQUETA,MONTERREY
1687,LA ORIGINAL BANDA EL LIMON,NO ME DOLIO
1688,ALFREDO OLIVAS,EL MALO DE CULIACAN
1689,BANDA LOS RECODITOS,MIENTRAS TU JUGABAS
1690,BANDA LA AUTENTICA,LA RATA FLACA
1691,LA PODEROSA BANDA SAN JUAN,EL ANTES Y EL DESPUES
1692,LUPILLO RIVERA,DESPRECIADO
1693,PANCHO BARRAZA,HISTORIA DE UN AMOR
1694,NELSON KANZELA,EL OSO POLAR
1695,LA MAFIA,COMO ME DUELE AMOR
1696,GRUPO BEBETO,ERES MI NECESIDAD
1697,LOS CARDENALES DE NUEVO LEON,SI YO FUERA EL
1698,LOS TIGRES DEL NORTE,AMERICA
1699,"PESADO,BOBBY PULIDO",ME DERRITO
1700,BANDA ARKANGEL R15,VOY A PINTAR MI RAYA
1701,SIGGNO,YA NO ME PERTENECES
1702,SOSPECHOS MX,A QUE ESTAMOS JUGANDO
1703,"LA INICIATIVA,BANDA LOS RECODITOS",CONVIDELA
1704,LOS BUKIS,COMO FUI A ENAMORARME DE TI
1705,LA ARROLLADORA BANDA EL LIMÓN,DISPONIBLE PARA MI
1706,LOS ROJOS,EL BOMBON
1707,LOS ANGELES DE CHARLY,UN SUEÑO
1708,LOS TIGRES DEL NORTE,AMOR DE MADRE
1709,GERMAN MONTERO,BUMPER CHOQUE
1710,JENNI RIVERA,MIRAME
1711,VAGON CHICANO,NECESIDAD
1712,PESADO,ME ESTORBAS
1713,FITO OLIVARES,EL COLESTEROL
1714,LOS ACOSTA,VOY A PINTAR UN CORAZON
1715,LOS CADETES DE LINARES,EL PALOMITO
1716,BANDA LOS RECODITOS,LA ESCUELITA
1717,GRUPO VELCHA,TU TRAICION SE ACABO
1718,LUIS ANGEL EL FLACO,BAILARE
1719,"KIKIN Y LOS ASTROS,EDWIN LUNA Y LA TRAKALOSA",DISCULPEME
1720,JENNI RIVERA,COMO TU MUJER
1721,LOS MORROS DEL NORTE,CUANDO ME VAYA
1722,KIKIN Y LOS ASTROS,EL HUAPANGO DE LUISMI
1723,LOS CHERRYES,LIKE
1724,LOS BUKIS,MI MAYOR NECESIDAD
1725,LA ARROLLADORA BANDA EL LIMÓN,TRAICIONERA
1726,"JUAN GABRIEL,ALEJANDRO FERNANDEZ",TE QUISE OLVIDAR
1727,REGULO CARO,SOLTERO DISPONIBLE
1728,INDUSTRIA DEL AMOR,ROSAS ROJAS
1729,JENNI RIVERA,PALOMA NEGRA
1730,LATENTE,QUE VUELVA
1731,LOS HURACANES DEL NORTE,DOBLE FONDO (EN VIVO)
1732,VICENTE FERNANDEZ,LA LEY DEL MONTE
1733,CALIBRE 50,QUE TIENE DE MALO
1734,LA SONORA DINAMITA,SE ME PERDIO LA CADENITA
1735,"PANCHO URESTI,MELISSSA",PISTIAREMOS
1736,CHUY LIZARRAGA,DONDE ESTAS PRESUMIDA
1737,RUBY ESCOBAR,YA NO TE QUIERO
1738,LOS TITANES DE DURANGO,HOY ES MI CUMPLEAÑOS
1739,DESTINY NAVAIRA,"ENTREGATE,ENTREGATE"
1740,ESPINOZA PAZ,AL DIABLO LO NUESTRO
1741,SAUL EL JAGUAR,COMO DONDE Y CUANDO
1742,ALEJANDRA OROZCO,QUEDA PROHIBO (BANDA)
1743,LA ORIGINAL BANDA EL LIMON,MAYOR DE EDAD
1744,BRONCO,NAILA
1745,BANDA PEQUEÑOS MUSICAL,REENCUENTRO
1746,BANDA EL RECODO,LA MIEL DE SU SALIVA
1747,EL DE LA GUITARRA,A LO LEJOS ME VERAN
1748,LOS BUITRES,CIEGA POR EL
1749,INTOCABLE,DAME UN BESITO
1750,LOS RIELEROS DEL NORTE,VOY A LLORAR POR TI
1751,BANDA EL RECODO,LO MEJOR DE MI VIDA
1752,MARCO ANTONIO SOLIS,O ME VOY O TE VAS
1753,ALEJANDRA OROZCO,DOS ADORNOS PA TU FRENTE
1754,RETOÑOS DEL RIO,DAME UNA SEÑAL
1755,JOSE ALFREDO JIMENEZ,EL REY
1756,LOS ANGELES DE CHARLY,ME VOLVI A ACORDAR DE TI
1757,MARCO FLORES Y SU NUMERO 1 BANDA JEREZ,VENGO DE ENGAÑARTE
1758,EL COYOTE Y SU BANDA,TE SOÑE
1759,BANDA MAGUEY,EVA MARIA
1760,GERARDO ORTIZ,DAMASO
1761,RAYITO COLOMBIANO,BESAR TU PIEL
1762,SERGIO VEGA,DISCULPE USTED (VERSION BANDA)
1763,BANDA RANCHO VIEJO,UNA ENTRE UN MILLON
1764,VICENTE FERNANDEZ,PARA SIEMPRE
1765,DIEGO HERRERA,LA NOCHE LARGA
1766,CARLOS Y JOSE,AMORES FINGIDOS
1767,ADA OLEA,NO TE MIENTO
1768,DUELO,UN MINUTO MAS
1769,MARGARITA,ESCANDALO
1770,LOS ROJOS,LA CONECTE
1771,BANDA LA DELICTIVA,ESTO SE VA A DESCONTROLAR
1772,LEANDRO RIOS,COCTEL DE OLVIDO
1773,EL COYOTE Y SU BANDA,PARA IMPRESIONARTE
1774,MARCO ANTONIO SOLIS,MI ETERNO AMOR SECRETO
1775,BANDA MACHOS,LAS NACHAS
1776,CLAUDIO ALCARAZ,MEMORIAS DE UN IDIOTA
1777,RAYMIX,PERDONAME
1778,BANDA CARNAVAL,PIDEME
1779,LOS HURACANES DEL NORTE,DIEZ MINUTOS MAS
1780,BANDA MACHOS,LA SECRETARIA
1781,JUAN GABRIEL,LA FARSANTE
1782,CALIBRE 50,EL INFIERNITO
1783,LA APUESTA,POR TI
1784,LOS TEMERARIOS,TU INFAME ENGANO
1785,ALTA CONSIGNA,EL PODER DE TU MIRADA
1786,LOS HERMANOS VEGA,HOY VI A SANTA CLAUS BESAR A MAMA
1787,JOE ARROYO,REBELION
1788,SAUL EL JAGUAR,MI NIÑA ADORADA
1789,LOS TITANES DE DURANGO,SALUCITA DE LA BUENA
1790,LOS RIELEROS DEL NORTE,TE QUIERO MUCHO
1791,GRUPO FRISIAN,COMO LO VOY A EXTRAÑAR
1792,SIMON LEON,AMANDO DEMASIADO
1793,ESPINOZA PAZ,LLEVAME
1794,JOSE JOSE,LO DUDO
1795,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,EN TODA LA CHAPA
1796,BANDA LOS SEBASTIANES,EL CUENTO PERFECTO
1797,LOS TIGRES DEL NORTE,LA BALA
1798,"LOS ANGELES AZULES,ANA TORROJA",AY AMOR
1799,LALO CARMONA,COMO MI MUJER
1800,LA ARROLLADORA BANDA EL LIMÓN,CONFESION
1801,LOS INVASORES DE NUEVO LEON,LAURITA GARZA
1802,BANDA BLANCA,SOPA DE CARACOL
1803,JOAN SEBASTIAN,HASTA QUE AMANEZCA
1804,JOAN SEBASTIAN,LA DERROTA
1805,LOS BUITRES,AMANTE DE OCASION
1806,MARCO FLORES Y SU NUMERO 1 BANDA JEREZ,AMOR DE LA VIDA ALEGRE
1807,SIGGNO,#HASHTAG
1808,LOS HURACANES DEL NORTE,BORRACHO Y LOCO
1809,BANDA MS,TE EQUIVOCAS
1810,LA SEPTIMA BANDA,SE VA MURIENDO MI ALMA
1811,Martin sanchez,Tú
1812,JOSE JOSE,SI ME DEJAS AHORA
1813,EL BEBETO,COMO OLVIDARTE
1814,BANDA CUISILLOS,VANIDOSA
1815,VICENTE FERNANDEZ,LAS LLAVES DE MI ALMA
1816,LA ARROLLADORA BANDA EL LIMÓN,MEDIA NARANJA
1817,ANA BARBARA,COMO ME HACES FALTA
1818,ROBERTO JR Y SU BANDEÑO,LE QUITO LO FRESA
1819,BANDA LOS RECODITOS,LA PEDA
1820,Sane Ornelas,Dueña de mi vida
1821,BANDA LOS RECODITOS,EN RESUMEN
1822,GRUPO JALADO,DEJAME PENSAR
1823,H NORTEÑA,DONDE ESCONDO QUE TE AMO
1824,CHALINO SANCHEZ,ALMA ENAMORADA
1825,CHUY LIZARRAGA,Y QUE HA SIDO DE TI
1826,RAMON AYALA Y SUS BRAVOS DEL NORTE,DEL OTRO LADO DEL PORTON
1827,BANDA PEQUEÑOS MUSICAL,PEQUEMIX 2
1828,VALENTIN ELIZALDE,VOLVERE A AMAR
1829,BANDA MS,INCREIBLE
1830,JOAN SEBASTIAN,ME GUSTAS
1831,LOS FELINOS,LAPIZ LABIAL
1832,BANDA MS,PIDEME PERDON
1833,MARCO FLORES Y SU NUMERO 1 BANDA JEREZ,POR UNA LAGRIMA
1834,LOS TIGRES DEL NORTE,MI BUENA SUERTE
1835,ROBERTO TAPIA,ME DUELE
1836,ALACRANES MUSICAL,POR TU AMOR
1837,BANDA LA COSTEÑA,UNA AVENTURA
1838,BANDA LA TRAKALOSA,COMO TE LLAMAS
1839,LOS HOROSCOPOS DE DURANGO,DOS LOCOS
1840,BANDA SAN JOSE DE MESILLAS,CON LA PALMA DE MI MANO
1841,ALFREDO OLIVAS,Y POR QUE NO
1842,BANDA CARNAVAL,ELLA ES MI MUJER
1843,LOS CAMINANTES,DOS CARTAS Y UNA FLOR
1844,BANDA LOS RECODITOS,ME TOCO PERDER
1845,ARMANDO CORTES,TENGO TANTAS GANAS
1846,LOS GFEZ,LA CANELERA
1847,TROPICALISIMO APACHE,LA HIERBA SE MOVIA
1848,ADAN ROMERO,A PRIMERA VISTA
1849,MARGARITA,COLEGIALA
1850,LOS DINNOS,EL TAXISTA
1851,BANDA EL RECODO,GRACIAS POR TU AMOR
1852,JULION ALVAREZ,LA NIÑA
1853,LA ARROLLADORA BANDA EL LIMÓN,SI TU AMOR NO VUELVE
1854,JUAN GABRIEL,BUENOS DIAS SEÑOR SOL
1855,"LOS TUCANES DE TIJUANA,CODIGO FN",SUENA LA BANDA
1856,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,PREGUNTALE
1857,LOS CARDENALES DE NUEVO LEON,EL PRIMER TONTO
1858,EFRAIN TOLEDO FT. BANDA ZARIHUEN,EL CAMPESINO Y EL NARCO
1859,ANTONIO AGUILAR,TRISTES RECUERDOS
1860,LA ORIGINAL BANDA EL LIMON,LA ORIGINAL
1861,JOAN SEBASTIAN,JULIANTLA
1862,LOS FUGITIVOS,LA LOCA
1863,PIPO RODRIGUEZ,CARIÑITO CORAZON
1864,LOS INTERNACIONES CADETES,REGALO DE REYES
1865,LA BANDONONONA RANCHO VIEJO,PRIVILEGIO
1866,EL KOMANDER,PROHIBIDA
