"artists","explicit","genre","lyric","lyric_provider","musixmatch_rating","rank","title"
"NATTI NATASHA",0.0,"","Yeah-yeah-yeah-yeah
Natti Nat, mmm
Rude gyal

La última vez (la última vez)
Tú me dijiste que me odiaba' y que pa' atrá' no ibas a volver (no, no)
De repente recibí una llamada y eras tú otra vez (eras tú otra vez)
Tú que pensaba' que por irte el mundo se me iba a virar al revés, qué mal te fue

¿Qué pasó? ¿Qué pasó?
Probaste con otro culito pero al final no te resultó
¿Qué pasó?
Ahora la vuelta se te cayó

¿Qué pasó? ¿Qué pasó?
Probaste con otro culito pero al final no te resultó
¿Qué pasó?
Ahora la vuelta se te cayó (rude gyal)

Ahora soy yo la de la vuelta, tu gyal anda suelta (ah)
Por ahí revuelta, soltera pero hay uno de respuesta (ah)
Dicen que hablar claro nada cuesta
Pero gastaste todo lo del banco y de la renta (yo')

Ya llegó mi tiempo, oh-oh
Como cheque semanal, tengo que cambiarte
Ya llegó mi tiempo, oh-oh
Como cheque semanal, yo voy a cambiarte

¿Qué pasó? ¿Qué pasó?
Probaste con otro culito pero al final no te resultó
¿Qué pasó?
Ahora la vuelta se te cayó

¿Qué pasó? ¿Qué pasó?
Probaste con otro culito pero al final no te resultó
¿Qué pasó?
Ahora la vuelta se te cayó (Natti Nat)

Cambia tu cuenta de usuario (yah), que va a ser necesario
Yo te vo' a bulear en la sección de comentario'
Pa' que tú no joda' conmigo
Tú está' claro que ya somo' enemigo'

Ya llegó mi tiempo, oh-oh
Como cheque semanal, tengo que cambiarte
Ya llegó mi tiempo, oh-oh
Como cheque semanal, yo voy a cambiarte

¿Qué pasó? ¿Qué pasó?
Probaste con otro culito pero al final no te resultó
¿Qué pasó?
Ahora la vuelta se te cayó

¿Qué pasó? ¿Qué pasó?
Probaste con otro culito pero al final no te resultó
¿Qué pasó?
Ahora la vuelta se te cayó (rude gyal, rude gyal)

La última vez (la última vez)
Tú me dijiste que me odiaba' y que pa' atrá' no ibas a volver (no, no)
De repente recibí una llamada y eras tú otra vez (eras tú otra vez)
Tú que pensaba' que por irte el mundo se me iba a virar al revés, qué mal te fue

¿Qué pasó? ¿Qué pasó?
Probaste con otro culito pero al final no te resultó
¿Qué pasó?
Ahora la vuelta se te cayó

¿Qué pasó? ¿Qué pasó?
Probaste con otro culito pero al final no te resultó
¿Qué pasó?
Ahora la vuelta se te cayó (rude gyal)

Ahora soy yo la de la
Ahora soy yo la de la
Ahora soy yo la de la

","MusicMatch",21.0,23,"QUE MAL TE FUE"
"CARIN LEON","","Country / Traditional Country","En mi mente estás como una adicción 
Que se siente dulce, tierna y natural
Pasas el umbral de mi intimidad
Llegas hasta el fondo de cada rincón
Me tienes aquí como quieres tú
Vienes y desplazas a mi soledad, me vas atrapando

En mi mente estás palpitando a mil
Y verte a mi lado es mi necesidad
El dejarte ir o decir adiós 
Es morir en vida, es negarme a mí
Que mi libertad se termina en ti
Y sentirte cerca de nuevo es saber que te estoy amando

Tú y de nuevo tú
Dejas que naufrague justamente en ti
Tú, mi locura tú
Me atas a tu cuerpo no me dejas ir
Tú, adherido a ti entre cada átomo
Entre cada célula vives tú
Todo lo llenas tú 
Que vienes y pasas como un huracán
Tú, total y pleno tú
Te has vuelto mi fuerza y mi talismán
Tú, silente y sutil entre cada átomo
Entre cada célula vives tú

Vas creciendo en mí, es inevitable
Nos damos miradas, soy tan vulnerable
Desprendes la luz de cada palabra
Te has vuelto mi espada tras cada batalla
Descubrí el amor al llegar a ti
Y caigo de nuevo en esta conclusión que te estoy amando

Tú y de nuevo tú
Dejas que naufrague justamente en ti
Tú, mi locura tú
Me atas a tu cuerpo no me dejas ir
Tú, adherido a ti entre cada átomo
Entre cada célula 

Y es que has hecho de mí 
Lo que tú quieras, lo que anhelas, lo que has deseado
A tu cuerpo, a tus ganas
A tu antojos, a tu cuerpo tú me has moldeado 

Y en todo vives tú
Todo lo llenas tú 
Que vienes y pasas como un huracán
Tú, total y pleno tú
Te has vuelto mi fuerza y mi talismán
Tú, silente y sutil entre cada átomo
Entre cada célula vives tú

","Google",23.0,24,"TU"
"PLAY N SKILLZ,DADDY YANKEE & ZION & LENNOX","","","Todo el mundo se puede enamorar 
Esto que sentimos no es ilegal 
Todo el mundo se puede enamorar 
Esto que sentimos no es ilegal
No es ilegal
No es ilegal
No es ilegal

Si amarte fuera ilegal
Tuviera causa probable 
De ti me dejo arrestar 
Si cumplo una condena en tus besos inolvidables 
Yo que dije a un santo nunca lo amarra nadie 
Pero a la larga siempre los caza alguien 
Juré que no me iba a pasar 
Y en la lista de Cupido soy uno más

Bebé, ¿quién para el tráfico ahí? 
La number one queen 
Nació pa mí y está pa' su king 
Por eso le di la llave de mi castillo 

Todo el mundo se puede enamorar 
Esto que sentimos no es ilegal 
Todo el mundo se puede enamorar 
Esto que sentimos no es ilegal 
No es ilegal
No es ilegal
No es ilegal

Yo le llamo candela 
Es la reina de todas las favelas 
El amor siempre coge cautela 
No sé cómo terminé así ah 

Si amarte es un crimen yo me declaro culpable 
Dicen que estoy loco, pero déjalos que hablen 
Móntate en el paramera y grita por la carretera 
Que seremos inseparables 

Todo el mundo se puede enamorar 
Esto que sentimos no es ilegal 
Todo el mundo se puede enamorar 
Esto que sentimos no es ilegal 
No es ilegal
No es ilegal

Todo el mundo se puede enamorar 
Esto que sentimos no es ilegal 
Todo el mundo se puede enamorar 
Esto que sentimos no es ilegal 
No es ilegal

Todo el mundo se puede enamorar 
Esto que sentimos no es ilegal 
Todo el mundo se puede enamorar 
Esto que sentimos no es ilegal 
No es ilegal

","Google","",25,"BESAME"
"ANUEL AA & BAD BUNNY",1.0,"","","MusicMatch",29.0,26,"HASTA QUE DIOS DIGA"
"BANDA MS DE SERGIO LIZARRAGA & SNOOP DOGG","","","","","",27,"QUE MALDICION"
"OZUNA X WISIN",1.0,"","","MusicMatch",26.0,28,"GISTRO AMARILLO"
"YANDEL X BAD BUNNY",0.0,"","Ella es la que me encanta
Ella es la que me levanta cuando estoy jodío' (eh)
Nunca se va del lado mío 

Pero ella me cela por to' (oh), me jode por to' (oh)
Pelea por to', por to'
A vece' ni la soporto, pero en el cuarto
Nos damo' con to' y arreglamo' to'
Pero ella me cela por to' (por to'), me jode por to' (por to')
Pelea por to', por to'
A vece' ni la soporto, pero en el cuarto
Nos damo' con to' y arreglamo' to', oh

Y aunque a vece' mal me porto
Ella me espera en la casa en vestidito corto
Trépate en mi cama pronto
Y quítate to' que quiero recorrer tu cuerpo
Por ti soy loco, se ve en mis ojos cuando te toco
Tú dime, ma'
Esto yo no lo hago con ninguna má', ah ah
Yo te conocí perreando, recuérdate
Cuando los do' éramo' chamaco' de 16
Sonando Yandel
Tú bailándome, yo besándote
Más nunca te solté

Pero ella me cela por to' (to'), me jode por to' (to')
Pelea por to', por to'
A veces ni la soporto, pero en el cuarto
Nos damos con to' y arreglamo' to', oh (ey, ey)

Yo la conocí bailando, perreando rakatá, eh eh
Bien suelta, desacatá'
Me miró y le dije: ""échate pa' acá""
Me dijo: ""papi, vente tú"", y me fui por detrá', tra
Ya son años, no son mese' (eh)
Ya hemo' chingao' más de mil vece'
Y todavía hace que se me erice la piel (eh)
Le gusta que le hable con las mano' como Eliel (huh)
Yo quisiera que to'a las luna' fueran de miel (eh)
Pero hoy me estás peleando desde ayer
Yo me porto bien, yo soy tu perro fiel, ey, ey
Ella es la que está conmigo a pesar de mis desbalance' psicológico'
La que está conmigo sin importar lo económico
La que se ríe de mis chiste' aunque no sean cómico
La única que saca mi lado romántico
Con ella me caso aunque no sea por lo católico
Si lo nuestro va má' allá de un acto simbólico
Tú ere' una estrella, mami y yo soy tu fanático
Ese booty en cuatro y to'a las poses se ve exótico, ey

Y yo lo quiero encima de mí
No me pelee', mami, no sea' así
Tú sabe' que soy tuyo, que yo cambié por ti
Pero tú me cela' por to, me jode' por to'
Pelea' por to', por to'
A vece' ni te soporto
Pero en el cuarto nos hacemo' de to', oh

Es que ella me cela por to' (eh), me jode por to' (oh)
Pelea por to', por to'
A vece' ni la soporto, pero en el cuarto
Nos damo' con to' y arreglamo' to'
Pero ella me cela por to' (por to'), me jode por to' (por to')
Pelea por to', por to'
A vece' ni la soporto, pero en el cuarto
Nos damo' con to' y arreglamo' to', oh (uh uh uh)

","MusicMatch",28.0,29,"CANCION CON YANDEL"
"EL FANTASMA & LOS DOS CARNALES","","","","",11.0,30,"CABRON Y VAGO"
"JUSTIN QUILES,DADDY YANKEE & EL ALFA",1.0,"","Me fronteó y el humo le pasé de boca a boca (DY)
Y eso que dijo conmigo no iba a estar ni loca (wuh, rr)
Le ponen la music y con el booty me choca (wuh)
Esta noche le toca (rrah)

Cuando la azoto suena pam, pam, pam, pam, pam (prr, pam, yeh-yeh)
Y la' pistolas suenan pam, pam, pam, pam, pam (pam) (cómo suena)
Tú ya conoces el refrán, -frán, -frán, -frán, -frán (-frán, -frán, dale)
Aquí lo que hay es Molly y pam-pam-pam-pam-pam-pam-pam-pam-pam (Daddy, Daddy, c'mon)

Cuando los saludo e' Richard Millie y no e' Jacob (wuh)
Y eso que en el case no tenía' ni tu psycho (yeah)
Hasta lo' gringo' me conocen, dicen ""Hey, bro"" (What?)
¿Vas a seguir? Digo ""Sí, hey take off""

El número 1, desde Rusia hasta la USA (wuh)
Jhayco, tenemo' las piedras en la medusa (money)
My G, cuando escucho a Karol G
Recuerdo ""rrr"", haré toda la Tusa (uah)

Empecé picando piedra como bam-bam-bam
Meseón de la mañana pide pan-pan-pan
Como la nieve cuando hierve soy un crack-crack-crack
Y si suena la Darell, suena ""Ra-ta-ta-tá"" (fuego)

Loca
Le ponen la music y con el booty me choca
Esta noche le toca

Cuando la azoto suena pam, pam, pam, pam, pam (prr, pam)
Y la' pistolas suenan pam, pam, pam, pam, pam (pam)
Tú ya conoces el refrán, -frán, -frán, -frán, -frán (-frán)
Aquí lo que hay es Molly y pam-pam-pam-pam-pam-pam-pam-pam-pam (eh, ah)

Ando con mi coro, no es el de la iglesia (wuh)
Comiendo fetuccini, paseando por Venecia
Tú no tiene' amnesia, no te haga' la necia
Soy como la Role', que nunca deprecia

Mota, pipa y una tipa, 'ta más buena que Dua Lipa
Una lipo pa' la tripa, pa' que quede mamacita (eh)
Mota, pipa y una tipa, 'ta más buena que Dua Lipa (yeh-eh-eh, yeh-eh-eh)
Una lipo pa' la tripa, pa' que quede mamacita (yah, ey, ah)

Ella e' la que da la para cuando llega a el bloque (wuh)
Pila' de mujere' en taquicardia y sofoque (rrr)
Muévelo to', mami, no le pare' a na' (na')
Dale pan de mí, que tu marío' no 'tá de na'

Bim-bim-bim, bam-bam-bam
Muévalo durísimo, tú no ere' de este clan
En el VIP, mi coro bota la champán
Yo no tengo que pedírselo, me lo dan

Chócale la paré', chócale la paré'
Chócale la paré', pam, pam
Chócale la paré', chócale la paré'
Chócale la paré', pam, pam

Cuando la azoto suena pam, pam, pam, pam, pam (prr, pam)
Y la' pistolas suenan pam, pam, pam, pam, pam (pam)
Tú ya conoces el refrán, -frán, -frán, -frán, -frán (-frán)
Aquí lo que hay es Molly y pam-pam-pam-pam-pam-pam-pam-pam-pam (pam) 

¿Tú 'tá ready?

Mota, mota, mota (pipa y)
Mota, mo-mo-mota (pipa y)
Mota, -ta, mo-mota (pipa y)
Mota, mota, mota (pipa y) (yah)

Yo, e' Justin Quiles mami
El animal, el criminal, the best
Daddy Yankee el boss
Controlando desde Miami nigga
Rich Music, El Alfa
Mota, pipa, y una tipa (dímelo Maffio)
'Ta más buena que Dua Lipa (J Quiles) (hablamo' nunca) 
Una lipo pa' la tipa (que si te digo el marte', tiene esperanza')
Pa' que quede mamacita

Cuando la azoto suena pam, pam, pam, pam, pam (prr, pam)
Y la' pistolas suenan pam, pam, pam, pam, pam (pam) (Boss, el Máximo Líder)
(DY, jefe de jefes)
Tú ya conoces el refran -fran, -fran, -fran, -fran
(Fuego) (dímelo Flow) (fuego)
Aquí lo que hay es Molly y pam-pam-pam-pam-pam-pam-pam-pam-pam
Pam (¿Tú 'tá ready?)

","MusicMatch",26.0,31,"PAM"
"MYKE TOWERS",1.0,"","Ey

Era mi reina, ahora e' mi diosa
Y hace lucirla' a las demá' como envidiosas
Pelinegra y peligrosa
Al seducirla ella se me pone nerviosa

Otra cosa, tú ere' otra cosa
Se ve que en la cama tú ere' talentosa
Los ignora por má' que la acosan
Cuando otra me habla se pone celosa

Era mi reina, ahora e' mi diosa
Y hace lucirla' a las demá' como envidiosas
Pelinegra y peligrosa
Al seducirla ella se me pone nerviosa

Oye, no hay ni que decirlo, mami, tú ere' otra cosa
Las mujere' como tú son las que hay que tener de esposa
Le gusta hacerlo vece' corrida, no reposa
Si le falla' ella el corazón te lo destroza

Y la quieren tener, no se va a poder
Porque ella pa' mí se va a poner
Contigo nadie se va a contener

Te quiero comer sin detenerme, -erme
Las cartera', mami, dile que tú no ere' cualquiera
Van a cogerle envidia si se enteran
Que por culpa mía no está soltera

Era mi reina, ahora e' mi diosa
Y hace lucirla' a las demá' como envidiosa'
Pelinegra y peligrosa
Al seducirla ella se me pone nerviosa

Ella a la' demá' las hace lucir mal
A lo' hombre' los pone a alucinar, ey
Yo me envolví con esa pussy, ma'
No e' la primera ni la última

Yo te lo juro que a esto no le vi final
Quemábamo' de la medicinal
A ti hay que tenerte de principal
A la' otra' uno le' dice, I can't

Pero no se comparan
Las cosa' que yo te hacía a ti en la intimidad se supone que no se contaran
Se la activó a la' amiga' y causó que ella' a mí se acercaran
Pero están clara' de que

Era mi reina, ahora e' mi diosa
Hace lucirla' a las demá' como envidiosas
Pelinegra y peligrosa
Al seducirla ella se me pone nerviosa

Otra cosa, tú ere' otra cosa
Se ve que en la cama tú ere' talentosa
Los ignora por má' que la acosan
Cuando otra me habla se pone celosa

Era mi reina, ahora e' mi diosa
Y hace lucirla' a las demá' como envidiosas
Pelinegra y peligrosa
Al seducirla ella se me pone nerviosa

","MusicMatch",24.0,32,"DIOSA"
"OZUNA X CAMILO",0.0,"","Yeah, eh, eh, oh
La Tribu
Ozuna el oso

Por qué todo tiene que ser confuso
Desde el principio fuiste tú la que impuso
Que lo dejáramos así
El alma y la mente en un duelo
Forcejando pa quedarse aquí
Haciéndolo está muy adelantada la nena
Seca con los demás y conmigo en humedad
Que cuando te vas más ganas me da
Por algo será que no cambio lo de conocerte
Cambio que te vayas cuando amanece
Porque te entregas pero no lo suficiente
No llama, pero cuando te apareces eh

Tu piel mojada, tirada en la cama
Bien maquillada, así será
Tu piel mojada, tan despeinada
Sin decir nada, así se va

Así será
No hemos empezao y odio cuando tú te vas
Solo hemos hablao y te siento muy húmeda
La vida es muy frágil mira, que fácil se va
Así, una mujer como tú yo quiero
Quédate que yo te necesito
Pueden regalarme el mundo entero
No te cambiaría, eso es un mito, ma

Ay, una mujer como tú yo quiero
Quédate que yo te necesito
Pueden regalarme el mundo entero
Ay, pero por algo será
Que no cambio lo de conocerte
Cambio que te vayas cuando amanece
Porque te entregas pero no lo suficiente
No llamas pero cuando te aparece

Tu miel mojada, tirada en la cama
Bien maquillada así será
Tu piel mojada, tan despeinada
Sin decir nada, así se va

Ay, si tú te vas 
Guárdame un ladito que me voy detrás
Vámonos de aquí, pa no volver jamás
Porque yo me muero cuando tú no estás
Siento que sobra el aire
Y estoy acostumbrado a que me falte contigo
Ay, como tú no hay nadie
Se que tú quieres estar conmigo, eso es así

Una mujer como tú yo quiero
Quédate que yo te necesito
Pueden regalarme el mundo entero
Ay pero por algo será
Que no cambio lo de conocerte
Cambio que te vayas cuando amanece
Porque te entregas pero no lo suficiente
No llamas pero cuando te apareces

Tu miel mojada, tirada en la cama
Bien maquillada así será
Tu piel mojada, tan despeinada
Sin decir nada, así se va

Tu piel mojada, tirada en la cama 
El negrito ojo claro, (El negrito ojos claros)
Ozuna
(Tu piel mojada) Ozuna
Camilo (y despeinada)
Sin decir nada, así se va (dí-dí-dímelo Gotay)
Dynell
Yazid

Tu piel mojada, tirada en la cama
Bien maquillada, así sera (La Tribu)
Tu miel mojada, woah oh despeinada
Sin decir nada así se va
Hyde el Químico

Ozuna
(Quédate que yo te necesito) Camilo
(Pueden regalarme el mundo entero)
(Ay, pero por algo será)

","MusicMatch",81.0,33,"DESPEINADA"
"JOWELL & RANDY & J BALVIN",0.0,"Music","","MusicMatch",28.0,34,"ANARANJADO"
"OZUNA & DADDY YANKEE",0.0,"","","MusicMatch",27.0,35,"NO SE DA CUENTA"
"LOS 2 DE LA S & BANDA MS DE SERGIO LIZARRAGA",0.0,"Latin / Regional Mexicano","","MusicMatch",22.0,36,"SOMOS LOS QUE SOMOS"
"IR-SAIS X RAUW ALEJANDRO",0.0,"","","MusicMatch",69.0,37,"DREAM GIRL"
"JUNIOR H",0.0,"","Mente positiva y aquí hay cosas de la vida
Si hablo de animales me gusta más gorilita
Tengo quien me cuide, también quien quiere matarme
Pero no me escondo, ya saben dónde encontrarme

Las morras me gustan, son lo mejor de la vida
Me gustan las güeritas tambien las morenitas
Pero que estén locas pa' tirar bien el desmadre
Que si saco un cuerno ellas también quieran jalarle

Que si la muerte
Que si el dinero, que hay que corretiar billete
Ya no hay pendiente

Que buenas noches
Unas botellas y que tire humo en la trampa
Se me destrampa

Aquí andamos bien agusto, no voy a parar
Polvo, mujeres y amigos me gusta rolar

Y ahí le va compa Chuchito
Hasta Tijuana viejo, puro Junior H

Quemando llantita, que me quema la sierrita
Ya prendio las luces, atrás viene un policía
No soy hocicón y me gusta tirar charola
Mejor no me paro y si me alcanza pago cuota

El que es aventado y tiene huevos en la vida
Siempre trae dinero y pide ayudar a su familia
Siempre trae buen carro pa' levantar buenas morras
Y al que se atravieza, le hacemos volar la gorra

Que si la muerte
Que si el dinero, que hay que corretiar billete
Ya no hay pendiente

Que buenas noches
Unas botellas y que tire humo en la trampa
Se me destrampa

Aquí andamos bien agusto, no voy a parar

Polvo, mujeres y amigos me gusta rolar

","MusicMatch",36.0,38,"MENTE POSITIVA"
